Method,Accuracy,Macro F1
PCA + LR,0.7642857142857142,0.6107695793935289
PCA + RF,0.8285714285714286,0.6532120441228602
PCA + KNN,0.7714285714285715,0.6194046345811051
GAT (Cross-dataset),0.007142857142857143,0.008695652173913044
